公司名,2025年face value（金额百万美元，下同）,2025年fair value,2025年face/fair（用百分比表示）,2024年face,2024年fair,2024年face/fair（用百分比表示）,过去一年face/fair变化,公司主要业务的一句话简介
LENDING POINT,53.82,34.15,63.45%,45.09,45.22,100.29%,-36.84%,美国消费信贷金融科技平台，主要提供个人分期贷款与信贷撮合服务。
KAUFFMAN,18.41,11.64,63.24%,18.21,17.13,94.04%,-30.80%,工业分销与零部件供应相关控股主体，服务B2B制造与工程客户。
TASTY CHICK'N,12.64,8.99,71.11%,12.12,11.97,98.75%,-27.63%,食品加工与禽类相关消费品平台，面向零售与餐饮渠道供货。
BANNER SOLUTIONS,16.00,11.04,69.02%,15.83,15.03,94.92%,-25.90%,建筑五金与安防相关产品分销平台，服务承包商与商业客户。
SIMEIO,8.99,6.80,75.68%,9.21,9.14,99.19%,-23.51%,企业身份与访问管理（IAM）服务商，提供网络安全托管与咨询服务。
NAVIGA,13.59,10.77,79.24%,13.59,13.74,101.09%,-21.85%,垂直行业企业软件平台，核心覆盖出版/媒体等行业管理系统。
CATO RESEARCH,17.99,14.71,81.73%,16.20,15.77,97.37%,-15.64%,CRO临床研究服务平台，为药企与生物科技公司提供试验外包支持。
PSI SERVICES, LLC,6.15,5.19,84.37%,36.02,35.73,99.18%,-14.81%,人才测评与考试认证技术服务商，向企业与职业机构提供评估系统。
GOLDEN BEAR 2016-R, LLC,14.01,8.03,57.33%,15.45,9.74,63.01%,-5.68%,结构化信贷/SPV主体，底层通常为一揽子资产支持类敞口。
VILLAGE PET CARE,3.28,3.17,96.44%,2.97,2.98,100.27%,-3.83%,宠物医疗与护理服务平台，覆盖诊疗与连锁门店运营。
EXCELLIGENCE,15.35,14.95,97.36%,15.22,15.39,101.07%,-3.71%,企业服务类控股主体，底层经营资产以附注披露为准。
LASHCO,47.25,44.98,95.19%,46.35,45.69,98.57%,-3.38%,消费服务或品牌运营相关平台型主体，面向终端消费者提供标准化服务。
UNIVERSAL AIR CONDITIONER,14.93,14.45,96.78%,13.20,13.19,99.94%,-3.16%,汽车空调系统后市场零部件供应商。
MERISTEM CROP PERFORMANCE,10.46,10.13,96.87%,9.23,9.21,99.87%,-3.00%,农业投入品与作物营养解决方案提供商。
AUGUST BIO,15.38,14.85,96.60%,14.93,14.81,99.17%,-2.57%,生物医药研发与外包服务相关主体。
CIRCUSTRIX,8.19,8.15,99.48%,4.29,4.38,102.01%,-2.53%,IT与数字化基础设施相关企业服务主体。
STERLING PHARMA,13.48,13.13,97.38%,13.14,13.05,99.31%,-1.93%,制药原料与医药中间体相关生产平台。
AVAD, LLC,35.96,32.06,89.14%,32.00,29.09,90.90%,-1.76%,音视频与智能系统集成分销平台，服务商业工程渠道。
THOMAS SCIENTIFIC,35.09,34.00,96.90%,33.50,33.05,98.64%,-1.74%,科研实验室耗材与设备分销平台，面向高校与工业实验室。
PALADONE,8.49,8.42,99.14%,8.00,8.05,100.69%,-1.55%,IP授权消费品设计与分销公司（礼品、周边与家居品类）。
